Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_11695	dipeptidyl-peptidase 4	"GO:0008236, GO:0016020,  GO:0006508"	"serine-type peptidase activity, membrane,  proteolysis"	"F, C,  P"		"IPR002469 (G3DSA:2.140.10.GENE3D), IPR002469 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D), IPR001375 (PFAM), PTHR11731:SF83 (PANTHER), PTHR11731 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK), SSF82171 (SUPERFAMILY),  IPR029058 (SUPERFAMILY)"	"P:GO:0006508, C:GO:0016020,  F:GO:0008236"	"P:proteolysis, C:membrane, F:serine-type peptidase activity"
FVEG_11714	n1-acetylpolyamine oxidase	"GO:0016491, GO:0000160, GO:0006355, GO:0055114, GO:0000156,  GO:0045449"	"oxidoreductase activity, phosphorelay signal transduction system, regulation of transcription, DNA-templated, oxidation-reduction process, phosphorelay response regulator activity,  regulation of transcription, DNA-templated"	"F, P, P, P, F,  P"		"Coil (COILS), IPR002937 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), G3DSA:3.90.660.10 (GENE3D), PTHR10742:SF183 (PANTHER), PTHR10742 (PANTHER), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SSF54373 (SUPERFAMILY),  SSF51905 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0055114"	"F:oxidoreductase activity, P:oxidation-reduction process"
FVEG_11716	protein					no IPS match	no IPS match	no IPS match
FVEG_11724	alcohol dehydrogenase	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR002198 (PRINTS), IPR002347 (PRINTS), PF13561 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR24322:SF261 (PANTHER), PTHR24322 (PANTHER),  SSF51735 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_11728	ribonuclease p mrp protein					"IPR029058 (G3DSA:3.40.50.GENE3D), PF12697 (PFAM), PTHR22731:SF4 (PANTHER), PTHR22731 (PANTHER),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11744	duf124 domain protein					"IPR002838 (TIGRFAM), IPR002838 (PFAM), IPR002838 (G3DSA:3.60.160.GENE3D), PTHR31801 (PANTHER), PTHR31801:SF0 (PANTHER),  IPR016031 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11752	hypothetical protein FVEG_11752					"G3DSA:1.20.58.340 (GENE3D), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11776	related to methyltransferase					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108 (PANTHER), PTHR10108:SF724 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11781	gamma-glutamyltranspeptidase periplasmic precursor					"Coil (COILS), IPR011989 (G3DSA:1.25.10.GENE3D), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS),  CYTOPLASMIC_DOMAIN (PHOBIUS)"	no GO terms	no GO terms
FVEG_11783	alpha- -mannosyltransferase	"GO:0005524, GO:0003676,  GO:0004386"	"ATP binding, nucleic acid binding,  helicase activity"	"F, F,  F"		"IPR001650 (SMART), IPR027417 (G3DSA:3.40.50.GENE3D), IPR001650 (PFAM), PTHR10799 (PANTHER), IPR001650 (PROSITE_PROFILES), IPR027417 (SUPERFAMILY),  SSF57802 (SUPERFAMILY)"	"F:GO:0005524, F:GO:0003676,  F:GO:0004386"	"F:ATP binding, F:nucleic acid binding, F:helicase activity"
FVEG_11784	alpha- -mannosyltransferase	"GO:0003824, GO:0003677,  GO:0005524"	"catalytic activity, DNA binding,  ATP binding"	"F, F,  F"		"IPR014001 (SMART), IPR000330 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), PTHR10799 (PANTHER), IPR014001 (PROSITE_PROFILES),  IPR027417 (SUPERFAMILY)"	"F:GO:0003677,  F:GO:0005524"	"F:DNA binding, F:ATP binding"
FVEG_11785	nacht domain protein					"Coil (COILS), IPR027417 (G3DSA:3.40.50.GENE3D), PF05729 (PFAM), PTHR24151:SF1 (PANTHER), PTHR24151 (PANTHER),  IPR027417 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11787	endopolygalacturonase	"GO:0005576, GO:0004650, GO:0005982,  GO:0005985"	"extracellular region, polygalacturonase activity, starch metabolic process,  sucrose metabolic process"	"C, F, P,  P"	EC:3.2.1.15	"IPR006626 (SMART), IPR012334 (G3DSA:2.160.20.GENE3D), IPR000743 (PFAM), PTHR31884:SF1 (PANTHER), PTHR31884 (PANTHER), IPR000743 (PROSITE_PATTERNS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR011050 (SUPERFAMILY)"	"P:GO:0005975,  F:GO:0004650"	"P:carbohydrate metabolic process, F:polygalacturonase activity"
FVEG_11788	probable uracil permease	"GO:0016020, GO:0015851,  GO:0015205"	"membrane, nucleobase transport,  nucleobase transmembrane transporter activity"	"C, P,  F"		"IPR001248 (PFAM), PTHR30618:SF0 (PANTHER), PTHR30618 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0015851,  F:GO:0015205"	"C:membrane, P:nucleobase transport, F:nucleobase transmembrane transporter activity"
FVEG_11790	mfs sugar	"GO:0022891, GO:0016021, GO:0055085,  GO:0008643"	"substrate-specific transmembrane transporter activity, integral component of membrane, transmembrane transport,  carbohydrate transport"	"F, C, P,  P"		"IPR003663 (PRINTS), IPR005828 (PFAM), G3DSA:1.20.1250.20 (GENE3D), IPR003663 (TIGRFAM), PTHR24063 (PANTHER), PTHR24063:SF333 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0055085, F:GO:0022891, F:GO:0022857,  C:GO:0016021"	"C:membrane, P:transmembrane transport, F:substrate-specific transmembrane transporter activity, F:transmembrane transporter activity, C:integral component of membrane"
FVEG_11791	3-hydroxybutyrate dehydrogenase	"GO:0008152,  GO:0016491"	"metabolic process,  oxidoreductase activity"	"P,  F"		"IPR002347 (PRINTS), IPR002198 (PRINTS), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002198 (PFAM), PTHR24316:SF321 (PANTHER), PTHR24316 (PANTHER), IPR020904 (PROSITE_PATTERNS),  SSF51735 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0016491"	"P:metabolic process, F:oxidoreductase activity"
FVEG_11796	wsc domain-containing protein					"IPR002889 (PFAM), IPR018535 (PFAM), PTHR32208:SF17 (PANTHER), PTHR32208 (PANTHER), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), IPR002889 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_11801	related to allantoate permease	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR11662 (PANTHER), PTHR11662:SF172 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_11807	3-(3-hydroxy-phenyl)propionate 3-hydroxycinnamic acid hydroxylase	"GO:0016491,  GO:0008152"	"oxidoreductase activity,  metabolic process"	"F,  P"		"IPR003042 (PRINTS), G3DSA:3.50.50.60 (GENE3D), IPR002938 (PFAM), PTHR13789:SF45 (PANTHER), PTHR13789 (PANTHER),  SSF51905 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_11834	glucose 1-dehydrogenase	"GO:0016021, GO:0016491, GO:0055114,  GO:0055085"	"integral component of membrane, oxidoreductase activity, oxidation-reduction process,  transmembrane transport"	"C, F, P,  P"		"IPR002347 (PRINTS), IPR002198 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR24322:SF305 (PANTHER), PTHR24322 (PANTHER),  SSF51735 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_11835	protein flug	"GO:0004356,  GO:0009252"	"glutamate-ammonia ligase activity,  peptidoglycan biosynthetic process"	"F,  P"	EC:6.3.1.2	"IPR014746 (G3DSA:3.30.590.GENE3D), IPR008146 (PFAM), PTHR20852 (PANTHER), PTHR20852:SF16 (PANTHER),  SSF55931 (SUPERFAMILY)"	"F:GO:0003824, P:GO:0006807,  F:GO:0004356"	"F:catalytic activity, P:nitrogen compound metabolic process, F:glutamate-ammonia ligase activity"
FVEG_11837	integral membrane protein					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11838	beta-lactamase hydrolase-like protein	GO:0016787	hydrolase activity	F		"IPR001279 (SMART), IPR001279 (G3DSA:3.60.15.GENE3D), IPR001279 (PFAM), PTHR11935 (PANTHER), PTHR11935:SF90 (PANTHER), SignalP-TM (SIGNALP_GRAM_POSITIVE),  IPR001279 (SUPERFAMILY)"	F:GO:0016787	F:hydrolase activity
FVEG_11839	hypothetical protein FVEG_11839	"GO:0016021, GO:0008271, GO:0008272,  GO:0055085"	"integral component of membrane, secondary active sulfate transmembrane transporter activity, sulfate transport,  transmembrane transport"	"C, F, P,  P"		"IPR007272 (PFAM), PTHR30574 (PANTHER), PTHR30574:SF1 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11850	phosphatidylinositol transfer protein csr1	"GO:0005622, GO:0006810,  GO:0005215"	"intracellular, transport,  transporter activity"	"C, P,  F"		"IPR001071 (PRINTS), IPR011074 (SMART), IPR001251 (SMART), IPR011074 (PFAM), IPR001251 (PFAM), IPR001251 (G3DSA:3.40.525.GENE3D), G3DSA:1.10.8.20 (GENE3D), PTHR10174:SF96 (PANTHER), PTHR10174 (PANTHER), IPR001251 (PROSITE_PROFILES), IPR001251 (SUPERFAMILY),  IPR011074 (SUPERFAMILY)"	"P:GO:0006810, C:GO:0005622,  F:GO:0005215"	"P:transport, C:intracellular, F:transporter activity"
FVEG_11864	aliphatic nitrilase	"GO:0006807,  GO:0016810"	"nitrogen compound metabolic process,  hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	"P,  F"		"IPR003010 (G3DSA:3.60.110.GENE3D), IPR003010 (PFAM), PTHR23088 (PANTHER), PTHR23088:SF2 (PANTHER), IPR000132 (PROSITE_PATTERNS), IPR003010 (PROSITE_PROFILES),  IPR003010 (SUPERFAMILY)"	"F:GO:0016810,  P:GO:0006807"	"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, P:nitrogen compound metabolic process"
FVEG_11869	gdsl-like lipase acylhydrolase	"GO:0006629,  GO:0016788"	"lipid metabolic process,  hydrolase activity, acting on ester bonds"	"P,  F"		"PF13472 (PFAM), IPR013831 (G3DSA:3.40.50.GENE3D), PTHR22835:SF118 (PANTHER), PTHR22835 (PANTHER),  SSF52266 (SUPERFAMILY)"	F:GO:0016787	F:hydrolase activity
FVEG_11885	alpha beta hydrolase superfamily protein					"PF12697 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D), PTHR10992 (PANTHER),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11893	alcohol dehydrogenase	"GO:0008270, GO:0016491,  GO:0055114"	"zinc ion binding, oxidoreductase activity,  oxidation-reduction process"	"F, F,  P"		"IPR013154 (PFAM), IPR011032 (G3DSA:3.90.180.GENE3D), IPR013149 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002085 (PANTHER), PTHR11695:SF404 (PANTHER), IPR002328 (PROSITE_PATTERNS), IPR011032 (SUPERFAMILY),  SSF51735 (SUPERFAMILY)"	"F:GO:0016491, P:GO:0055114,  F:GO:0008270"	"F:oxidoreductase activity, P:oxidation-reduction process, F:zinc ion binding"
FVEG_11894	zinc transporter protein	"GO:0071577, GO:0016021,  GO:0005385"	"zinc II ion transmembrane transport, integral component of membrane,  zinc ion transmembrane transporter activity"	"P, C,  F"		"IPR003689 (PFAM), IPR004698 (TIGRFAM), PTHR11040:SF34 (PANTHER), PTHR11040 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085, C:GO:0016020, F:GO:0046873, P:GO:0030001, C:GO:0016021, P:GO:0071577,  F:GO:0005385"	"P:transmembrane transport, C:membrane, F:metal ion transmembrane transporter activity, P:metal ion transport, C:integral component of membrane, P:zinc II ion transmembrane transport, F:zinc ion transmembrane transporter activity"
FVEG_11896	hypothetical protein FVEG_11896					IPR009784 (PFAM)	no GO terms	no GO terms
FVEG_11897	class iii	"GO:0008483,  GO:0030170"	"transaminase activity,  pyridoxal phosphate binding"	"F,  F"		"IPR005814 (PIRSF), IPR015421 (G3DSA:3.40.640.GENE3D), IPR005814 (PFAM), IPR015422 (G3DSA:3.90.1150.GENE3D), IPR005814 (PANTHER), PTHR11986:SF24 (PANTHER),  IPR015424 (SUPERFAMILY)"	"F:GO:0008483, F:GO:0030170,  F:GO:0003824"	"F:transaminase activity, F:pyridoxal phosphate binding, F:catalytic activity"
FVEG_11899	mfs transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR24003 (PANTHER), PTHR24003:SF509 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_11900	had superfamily	"GO:0005622, GO:0008152,  GO:0016787"	"intracellular, metabolic process,  hydrolase activity"	"C, P,  F"		"IPR023214 (G3DSA:3.40.50.GENE3D), IPR006439 (TIGRFAM), IPR023214 (PFAM), PTHR18901 (PANTHER), PTHR18901:SF9 (PANTHER),  IPR023214 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0016787"	"P:metabolic process, F:hydrolase activity"
FVEG_11901	glucose-methanol-choline oxidoreductase:gmc oxidoreductase	"GO:0006066, GO:0008812, GO:0055114, GO:0050660, GO:0006544, GO:0006563,  GO:0006566"	"alcohol metabolic process, choline dehydrogenase activity, oxidation-reduction process, flavin adenine dinucleotide binding, glycine metabolic process, L-serine metabolic process,  threonine metabolic process"	"P, F, P, F, P, P,  P"		"IPR012132 (PIRSF), G3DSA:3.50.50.60 (GENE3D), IPR007867 (PFAM), IPR000172 (PFAM), PTHR11552 (PANTHER), IPR000172 (PROSITE_PATTERNS), IPR000172 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SSF51905 (SUPERFAMILY),  SSF54373 (SUPERFAMILY)"	"P:GO:0006066, F:GO:0016614, F:GO:0008812, P:GO:0055114,  F:GO:0050660"	"P:alcohol metabolic process, F:oxidoreductase activity, acting on CH-OH group of donors, F:choline dehydrogenase activity, P:oxidation-reduction process, F:flavin adenine dinucleotide binding"
FVEG_11923	zn2+ dependent hydrolase	GO:0016787	hydrolase activity	F		"PF12706 (PFAM), IPR001279 (G3DSA:3.60.15.GENE3D),  IPR001279 (SUPERFAMILY)"	F:GO:0016787	F:hydrolase activity
FVEG_11924	related to multidrug transporter (yeast bile transporter)	"GO:0055085, GO:0016021, GO:0042626, GO:0006200,  GO:0005524"	"transmembrane transport, integral component of membrane, ATPase activity, coupled to transmembrane movement of substances, obsolete ATP catabolic process,  ATP binding"	"P, C, F, P,  F"		SSF56059 (SUPERFAMILY)	no GO terms	no GO terms
FVEG_11940	sterigmatocystin biosynthesis monooxygenase stcw	"GO:0050660, GO:0004499, GO:0055114, GO:0016829,  GO:0050661"	"flavin adenine dinucleotide binding, N,N-dimethylaniline monooxygenase activity, oxidation-reduction process, lyase activity,  NADP binding"	"F, F, P, F,  F"	EC:1.14.13.8	"G3DSA:3.50.50.60 (GENE3D), PF13738 (PFAM), PTHR23023:SF46 (PANTHER), PTHR23023 (PANTHER),  SSF51905 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11942	aliphatic nitrilase	"GO:0006807,  GO:0016810"	"nitrogen compound metabolic process,  hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	"P,  F"		"IPR003010 (G3DSA:3.60.110.GENE3D), IPR003010 (PFAM), PTHR23088 (PANTHER), PTHR23088:SF2 (PANTHER), IPR000132 (PROSITE_PATTERNS), IPR003010 (PROSITE_PROFILES),  IPR003010 (SUPERFAMILY)"	"F:GO:0016810,  P:GO:0006807"	"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, P:nitrogen compound metabolic process"
FVEG_11953	hypothetical protein FVEG_11953					"SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11957	related to trans-aconitate 3-methyltransferase	"GO:0032259,  GO:0008168"	"methylation,  methyltransferase activity"	"P,  F"		"IPR013216 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108 (PANTHER), PTHR10108:SF710 (PANTHER),  IPR029063 (SUPERFAMILY)"	"F:GO:0008168,  P:GO:0008152"	"F:methyltransferase activity, P:metabolic process"
